ArticleId,Text,Category
334,ecb holds rates amid growth fears the european central bank has left its key interest rate unchanged at 2% for the 19th month in succession.  borrowing costs have remained on hold amid concerns about the strength of economic growth in the 12 nations sharing the euro  analysts said. despite signs of pick-up  labour markets and consumer demand remain sluggish  while firms are eyeing cost cutting measures such as redundancies. high oil prices  meanwhile  have put upward pressure on the inflation rate.  surveys of economists have shown that the majority expect borrowing costs to stay at 2% in coming months  with an increase of a quarter of a percentage point predicted some time in the second half of the year. if anything  there may be greater calls for an interest rate cut  especially with the euro continuing to strengthen against the dollar.  the euro land economy is still struggling with this recovery   said economist dirk schumacher. the ecb  may sound rather hawkish but once the data allows them to cut again  they will.  data coming out of germany on thursday underlined the problems facing european policy makers. while germany s economy expanded by 1.7% in 2004  growth was driven by export sales and lost some of its momentum in the last three months of the year.  the strength of the euro is threatening to dampen that foreign demand in 2005  and domestic consumption currently is not strong enough to take up the slack. inflation in the eurozone  however  is estimated at about 2.3% in december  above ecb guidelines of 2%. ecb president jean-claude trichet has remained upbeat about prospects for the region  and inflation is expected to drop below 2% later in 2005. the ecb has forecast economic growth in the eurozone of 1.9% in 2005.,business
35,insurance bosses plead guilty another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice.  two executives from american international group (aig) and one from marsh & mclennan were the latest. the investigation by new york attorney general eliot spitzer has now obtained nine guilty pleas. the highest ranking executive pleading guilty on tuesday was former marsh senior vice president joshua bewlay.  he admitted one felony count of scheming to defraud and faces up to four years in prison. a marsh spokeswoman said mr bewlay was no longer with the company. mr spitzer s investigation of the us insurance industry looked at whether companies rigged bids and fixed prices. last month marsh agreed to pay $850m (£415m) to settle a lawsuit filed by mr spitzer  but under the settlement it  neither admits nor denies the allegations .,business
1697,us airways staff agree to pay cut a union representing 5 200 flight attendants at bankrupt us airways have agreed to a new contract that cuts pay by nearly 10%.  the deal will help the carrier  trying to survive by cutting costs by nearly $1bn (£530m) a year  save about $94m. more than two thirds of its 28 000 staff have now accepted wage cuts. but talks are still continuing with a union representing mechanics  baggage handlers and cleaners  which has so far failed to negotiate a new contract. the seventh largest carrier in the us sought bankruptcy protection for a second time in two years last september. it had been one of the quickest to deal with difficulties faced by the aviation industry after the 9/11 attacks in 2001. but it emerged from chapter 11 bankruptcy in march 2003 to face competition from low-cost carriers and higher fuel costs. us airways management has said it may need to start liquidating assets if it does not receive concessions from all staff by the middle of this month.,business
974,barclays shares up on merger talk shares in uk banking group barclays have risen on monday following a weekend press report that it had held merger talks with us bank wells fargo.  a tie-up between barclays and california-based wells fargo would create the world s fourth biggest bank  valued at $180bn (£96bn). barclays has declined to comment on the report in the sunday express  saying it does not respond to market speculation. the two banks reportedly held talks in october and november 2004.  barclays shares were up 8 pence  or 1.3%  at 605 pence by late morning in london on monday  making it the second biggest gainer in the ftse 100 index. uk banking icon barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76 200 staff worldwide. its north american divisions focus on business banking  whereas wells fargo operates retail and business banking services from 6 000 branches. in 2003  barclays reported a 20% rise in pre-tax profits to £3.8bn  and it has recently forecast similar gains in 2004  predicting that full year pre-tax profits would rise 18% to £4.5bn. wells fargo had net income of $6.2bn in its last financial year  a 9% increase on the previous year  and revenues of $28.4bn. barclays was the focus of takeover speculation in august  when it was linked to citigroup  though no bid has ever materialised. stock market traders were sceptical that the latest reports heralded a deal.  the chief executive would be abandoning his duty if he didn t talk to rivals  but a deal doesn t seem likely   reuters quoted one trader as saying.,business
2129,house prices suffer festive fall uk house prices fell 0.7% in december  according to figures from the office of the deputy prime minister.  nationally  house prices rose at an annual rate of 10.7% in december  less than the 13.7% rise the previous month. the average uk house price fell from £180 126 in november to £178 906  reflecting recent land registry figures confirming a slowdown in late 2004. all major uk regions  apart from northern ireland  experienced a fall in annual growth during december.  december is traditionally a quiet month for the housing market because of christmas celebrations. however  recent figures from the land registry - showing a big drop in sales between the last quarter of 2004 and the previous year - suggested the slowdown could be more than a seasonal blip. the volume of sales between october and december dropped by nearly a quarter from the same period in 2003  the land registry said. although both the office of the deputy prime minister (odpm) and the land registry figures point to a slowdown in the market  the most recent surveys from nationwide and halifax have indicated the market may be undergoing a revival. after registering falls at the back-end of 2004  halifax said house prices rose by 0.8% in january and nationwide reported a rise of 0.4% in the first month of the year.,business
1771,astrazeneca hit by drug failure shares in anglo-swedish drug have closed down 8% in uk trade after the failure of its iressa drug in a major clinical trial.  the lung cancer drug did not significantly prolong survival in patients with the disease. this setback for the group follows the rejection by the us in october of its anti-coagulant pill exanta. meanwhile  another of its major money spinners - cholesterol drug crestor - is facing mounting safety concerns.  this would be two of the three blockbuster drugs that were meant to power the company forward failing... and we ve got risks on crestor   said nick turner  analyst at brokers jefferies.  astrazeneca had hoped to pitch its iressa drug against rival medicine tarceva. but iressa proved no better than a placebo in extending lives in the trial involving 1 692 patients. tarceva - made by osi pharmaceuticals  genentech and roche - has already proved to be successful in helping prolong the life of lung cancer patients. aztrazeneca has now appointed a new executive director to the board. john patterson will be in charge of drug development. the company said mr patterson would make  substantial changes to the clinical organisation and its processes .  i am determined to improve our development and regulatory performance  restore confidence in the company and value to shareholders   said chief executive tom mckillop.,business
111,us trade gap hits record in 2004 the gap between us exports and imports hit an all-time high of $671.7bn (£484bn) in 2004  latest figures show.  the commerce department said the trade deficit for all of last year was 24.4% above the previous record - 2003 s imbalance of $496.5bn. the deficit with china  up 30.5% at $162bn  was the largest ever recorded with a single country. however  on a monthly basis the us trade gap narrowed by 4.9% in december to £56.4bn. the us consumer s appetite for all things from oil to imported cars  and even wine and cheese  reached record levels last year and the figures are likely to spark fresh criticism of president bush s economic policies.  democrats claim the administration has not done enough to clamp down on unfair foreign trade practices. for example  they believe china s currency policy - which us manufacturers claim has undervalued the yuan by as much as 40% - has given china s rapidly expanding economy an unfair advantage against us competitors.  meanwhile  the bush administration argues that the us deficit reflects the fact the america is growing at faster rate than the rest of the world  spurring on more demand for imported goods. some economists say this may allow an upward revision of us economic growth in the fourth quarter. but others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets  which may in turn harm growth. for all of 2004  us exports rose 12.3% to $1.15 trillion  but imports rose even faster by 16.3% to a new record of $1.76 trillion. foreign oil exports surged by 35.7% to a record $180.7bn  reflecting the rally in global oil prices and increasing domestic demand. imports were not affected by the dollar s weakness last year.  we expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend   said economist marie-pierre ripert at ixis.,business
1774,hyundai to build new india plant south korea s hyundai motor has announced that it plans to build a second plant in india to meet the country s growing demand for cars.  the company didn t give details of its investment but it said the new plant would produce 150 000 cars a year. this will boost the annual production capacity of the company - india s second-largest car manufacturer - to 400 000 units. hyundai expects its sales in india to grow 16% to 250 000 in 2005. by 2010  it expects to nearly double sales to 400 000 cars. the new plant will be built close to the existing one in chennai  in the southern province of tamil nadu.  south korea s top car maker estimates that the indian market will grow 15% this year  to 920 000 vehicles  reaching 1.6 million vehicles by 2010. demand in india has been driven by the poor state of public transport and the very low level of car ownership  analysts said. figures show that currently only eight people per thousand are car owners.  we desperately need to expand our production in order to meet growing demand in the indian auto market  which is growing over 12 percent every year  and to top our competitors   chairman chung mong-koo said in the statement. he said the company plans to use india as a base for exports to europe  latin america and the middle east. the company - which controls half of the south korean s market - aims to become a global top five auto maker by 2010.,business
1106,gazprom  in $36m back-tax claim  the nuclear unit of russian energy giant gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.  vedomosti newspaper reported that russian authorities made the demand at the end of last year. the paper added that most of the taxes claimed are linked to the company s export activity. gazprom  the biggest gas company in the world  took over nuclear fuel giant atomstroieksport in october 2004. the main project of atomstroieksport is the building of a nuclear plant in iran  which has been a source of tension between russia and the us.  gazprom is one of the key players in the complex russian energy market  where the government of vladimir putin has made moves to regain state influence over the sector. gazprom is set to merge with state oil firm rosneft  the company that eventually acquired yuganskneftegas  the main unit of embattled oil giant yukos. claims for back-taxes was a tool used against yukos  and led to the enforced sale yuganskneftegas. some analysts fear the kremlin will continue to use these sort of moves to boost the efforts of the state to regain control over strategically important sectors such as oil.,business
1220,ryanair in $4bn boeing plane deal budget airline ryanair has placed an order for 70 boeing 737-800 planes  in a deal valued at $4bn (£2.1bn) which should lead to 2 500 new ryanair jobs.  it also has an option for a further 70 aircraft  a move which brings the ryanair/boeing order book up to 225 firm orders and options on 193 more. ryanair said the new planes would help it to cut operating costs further. the carrier reported a drop in quarterly profit earlier this year after it was hit by higher fuel costs. however  when it reported the results  the airline was upbeat about prospects for 2005  despite tough competition in the budget airline market.  ryanair chairman david bonderman said that the 737-800 had  significantly reduced our unit operating costs and allowed us to reduce air fares each year for the last five years .   with this new order and new pricing in place  ryanair expects that unit operating costs (excluding fuel) will continue to fall each year for the next five years   he added. at the end of this year  ryanair will have taken delivery of about 100 new planes  while the 70 new orders are due for delivery between 2008 and 2012. the airline said that when all these planes have been delivered  it will be able to carry more than 70 million passengers a year  making it europe s largest airline. about 2 500 new jobs should be created in the next seven years  it added. the order can be seen as good news for boeing  which in recent years has been overtaken by european plane maker airbus as the world s biggest-selling plane maker.,business
